item_id,store_id,ts,demand,price
item_001,store_001,2017-10-01,305.82,103
item_001,store_001,2017-11-01,276.94,110.7954801
item_001,store_001,2017-12-01,277.61,110.7954801
item_001,store_001,2018-01-01,275.94,110.7954801
item_001,store_001,2018-02-01,272.39,110.7954801
item_001,store_001,2018-03-01,267.9,110.7954801
item_001,store_001,2018-04-01,281.34,106.1101399
item_001,store_001,2018-05-01,278.33,106.1101399
item_001,store_001,2018-06-01,277.62,106.1101399
item_001,store_001,2018-07-01,279.4,106.1101399
item_001,store_001,2018-08-01,283.19,106.1101399
item_001,store_001,2018-09-01,287.98,106.1101399
item_001,store_001,2018-10-01,237.09,122.053055
item_001,store_001,2018-11-01,239.52,122.053055
item_001,store_001,2018-12-01,240.1,122.053055
item_001,store_001,2019-01-01,238.66,122.053055
item_001,store_001,2019-02-01,420.27,82.97735656
item_001,store_001,2019-03-01,350.82,92.56446737
item_001,store_001,2019-04-01,345.3,92.56446737
item_001,store_001,2019-05-01,314.55,97.79892302
item_001,store_001,2019-06-01,313.75,97.79892302
item_001,store_001,2019-07-01,315.76,97.79892302
item_001,store_001,2019-08-01,320.04,97.79892302
item_001,store_001,2019-09-01,325.46,97.79892302
item_001,store_001,2019-10-01,,97.79892302
item_001,store_001,2019-11-01,,97.79892302
item_001,store_001,2019-12-01,,97.79892302
item_001,store_002,2017-10-01,305.82,103
item_001,store_002,2017-11-01,276.94,110.7954801
item_001,store_002,2017-12-01,277.61,110.7954801
item_001,store_002,2018-01-01,275.94,110.7954801
item_001,store_002,2018-02-01,272.39,110.7954801
item_001,store_002,2018-03-01,267.9,110.7954801
item_001,store_002,2018-04-01,281.34,106.1101399
item_001,store_002,2018-05-01,278.33,106.1101399
item_001,store_002,2018-06-01,277.62,106.1101399
item_001,store_002,2018-07-01,279.4,106.1101399
item_001,store_002,2018-08-01,283.19,106.1101399
item_001,store_002,2018-09-01,287.98,106.1101399
item_001,store_002,2018-10-01,237.09,122.053055
item_001,store_002,2018-11-01,239.52,122.053055
item_001,store_002,2018-12-01,240.1,122.053055
item_001,store_002,2019-01-01,238.66,122.053055
item_001,store_002,2019-02-01,420.27,82.97735656
item_001,store_002,2019-03-01,350.82,92.56446737
item_001,store_002,2019-04-01,345.3,92.56446737
item_001,store_002,2019-05-01,314.55,97.79892302
item_001,store_002,2019-06-01,313.75,97.79892302
item_001,store_002,2019-07-01,315.76,97.79892302
item_001,store_002,2019-08-01,320.04,97.79892302
item_001,store_002,2019-09-01,325.46,97.79892302
item_001,store_002,2019-10-01,,97.79892302
item_001,store_002,2019-11-01,,97.79892302
item_001,store_002,2019-12-01,,97.79892302
item_001,store_003,2017-10-01,305.82,103
item_001,store_003,2017-11-01,276.94,110.7954801
item_001,store_003,2017-12-01,277.61,110.7954801
